m,u,endpoint_delta,sigma,excluded_regular_sources,containing_sources,continuing_sources,preferred_witness,next_label,next_kind,next_source
13,1,167,12,11 12,1 2 4 5 6 7 8 9 10,2 4 5 6 7 8 9 10,2,168,regular_start,11
13,2,11,0,1 12,2 4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11,4,12,regular_start,12
13,4,37,2,1 2,4 5 6 7 8 9 10 11 12,5 6 7 8 9 10 11 12,5,38,regular_start,1
13,5,50,3,2 4,1 5 6 7 8 9 10 11 12,1 6 7 8 9 10 11 12,6,51,regular_start,2
13,6,63,4,4 5,1 2 6 7 8 9 10 11 12,1 2 7 8 9 10 11 12,7,64,exceptional_start,
13,7,76,5,4 5 6,1 2 7 8 9 10 11 12,1 2 8 9 10 11 12,8,77,regular_start,4
13,8,89,6,5 6 7,1 2 4 8 9 10 11 12,1 2 4 9 10 11 12,9,90,regular_start,5
13,9,102,7,6 7 8,1 2 4 5 9 10 11 12,1 2 4 5 10 11 12,10,103,regular_start,6
13,10,115,8,7 8 9,1 2 4 5 6 10 11 12,1 2 4 5 6 11 12,11,116,regular_start,7
13,11,128,9,8 9 10,1 2 4 5 6 7 11 12,1 2 4 5 6 7 12,12,129,regular_start,8
13,12,141,10,9 10 11,1 2 4 5 6 7 8 12,1 2 4 5 6 7 8,1,142,regular_start,9
15,1,223,14,13 14,1 2 4 5 6 7 8 9 10 11 12,2 4 5 6 7 8 9 10 11 12,2,224,regular_start,13
15,2,13,0,1 14,2 4 5 6 7 8 9 10 11 12 13,4 5 6 7 8 9 10 11 12 13,4,14,regular_start,14
15,4,43,2,1 2,4 5 6 7 8 9 10 11 12 13 14,5 6 7 8 9 10 11 12 13 14,5,44,regular_start,1
15,5,58,3,2 4,1 5 6 7 8 9 10 11 12 13 14,1 6 7 8 9 10 11 12 13 14,6,59,regular_start,2
15,6,73,4,4 5,1 2 6 7 8 9 10 11 12 13 14,1 2 7 8 9 10 11 12 13 14,7,74,exceptional_start,
15,7,88,5,4 5 6,1 2 7 8 9 10 11 12 13 14,1 2 8 9 10 11 12 13 14,8,89,regular_start,4
15,8,103,6,5 6 7,1 2 4 8 9 10 11 12 13 14,1 2 4 9 10 11 12 13 14,9,104,regular_start,5
15,9,118,7,6 7 8,1 2 4 5 9 10 11 12 13 14,1 2 4 5 10 11 12 13 14,10,119,regular_start,6
15,10,133,8,7 8 9,1 2 4 5 6 10 11 12 13 14,1 2 4 5 6 11 12 13 14,11,134,regular_start,7
15,11,148,9,8 9 10,1 2 4 5 6 7 11 12 13 14,1 2 4 5 6 7 12 13 14,12,149,regular_start,8
15,12,163,10,9 10 11,1 2 4 5 6 7 8 12 13 14,1 2 4 5 6 7 8 13 14,13,164,regular_start,9
15,13,178,11,10 11 12,1 2 4 5 6 7 8 9 13 14,1 2 4 5 6 7 8 9 14,14,179,regular_start,10
15,14,193,12,11 12 13,1 2 4 5 6 7 8 9 10 14,1 2 4 5 6 7 8 9 10,1,194,regular_start,11
17,1,287,16,15 16,1 2 4 5 6 7 8 9 10 11 12 13 14,2 4 5 6 7 8 9 10 11 12 13 14,2,288,regular_start,15
17,2,15,0,1 16,2 4 5 6 7 8 9 10 11 12 13 14 15,4 5 6 7 8 9 10 11 12 13 14 15,4,16,regular_start,16
17,4,49,2,1 2,4 5 6 7 8 9 10 11 12 13 14 15 16,5 6 7 8 9 10 11 12 13 14 15 16,5,50,regular_start,1
17,5,66,3,2 4,1 5 6 7 8 9 10 11 12 13 14 15 16,1 6 7 8 9 10 11 12 13 14 15 16,6,67,regular_start,2
17,6,83,4,4 5,1 2 6 7 8 9 10 11 12 13 14 15 16,1 2 7 8 9 10 11 12 13 14 15 16,7,84,exceptional_start,
17,7,100,5,4 5 6,1 2 7 8 9 10 11 12 13 14 15 16,1 2 8 9 10 11 12 13 14 15 16,8,101,regular_start,4
17,8,117,6,5 6 7,1 2 4 8 9 10 11 12 13 14 15 16,1 2 4 9 10 11 12 13 14 15 16,9,118,regular_start,5
17,9,134,7,6 7 8,1 2 4 5 9 10 11 12 13 14 15 16,1 2 4 5 10 11 12 13 14 15 16,10,135,regular_start,6
17,10,151,8,7 8 9,1 2 4 5 6 10 11 12 13 14 15 16,1 2 4 5 6 11 12 13 14 15 16,11,152,regular_start,7
17,11,168,9,8 9 10,1 2 4 5 6 7 11 12 13 14 15 16,1 2 4 5 6 7 12 13 14 15 16,12,169,regular_start,8
17,12,185,10,9 10 11,1 2 4 5 6 7 8 12 13 14 15 16,1 2 4 5 6 7 8 13 14 15 16,13,186,regular_start,9
17,13,202,11,10 11 12,1 2 4 5 6 7 8 9 13 14 15 16,1 2 4 5 6 7 8 9 14 15 16,14,203,regular_start,10
17,14,219,12,11 12 13,1 2 4 5 6 7 8 9 10 14 15 16,1 2 4 5 6 7 8 9 10 15 16,15,220,regular_start,11
17,15,236,13,12 13 14,1 2 4 5 6 7 8 9 10 11 15 16,1 2 4 5 6 7 8 9 10 11 16,16,237,regular_start,12
