kind,m,outgoing_exhaustive,incoming_latin,support,has_solution
baseline_per_m,3,1,1,,
baseline_per_m,5,1,1,,
baseline_per_m,7,1,1,,
baseline_per_m,9,1,1,,
baseline_per_m,11,1,1,,
baseline_per_m,13,1,1,,
size3,,,,"[0, 1, 2]",0
size3,,,,"[0, 1, 3]",0
size3,,,,"[0, 1, 4]",0
size3,,,,"[0, 2, 3]",0
size3,,,,"[0, 2, 4]",0
size3,,,,"[0, 3, 4]",0
size3,,,,"[1, 2, 3]",0
size3,,,,"[1, 2, 4]",0
size3,,,,"[1, 3, 4]",0
size3,,,,"[2, 3, 4]",0
size4,,,,"[0, 1, 2, 3]",0
size4,,,,"[0, 1, 2, 4]",0
size4,,,,"[0, 1, 3, 4]",0
size4,,,,"[0, 2, 3, 4]",0
size4,,,,"[1, 2, 3, 4]",0
