Generic-late defect-cycle three-block theorem check

Scope: 27 <= m <= 1501, 3|m, 5∤m, 7∤m, m ≡ 3 or 9 (mod 15)
Moduli checked: 84
Total defect-cycle states checked: 16453
all_pass: True
num_bad: 0

Per modulus:
m=33, M=11, case=15r+3/split, L=4, runs=[(0, 1), (2, 1), (3, 2)], match=True
m=39, M=13, case=15r+9/unsplit-edge, L=13, runs=[(0, 1), (2, 10), (3, 2)], match=True
m=69, M=23, case=15r+9/split, L=8, runs=[(0, 1), (1, 6), (2, 1)], match=True
m=93, M=31, case=15r+3/unsplit, L=31, runs=[(18, 19), (20, 10), (8, 2)], match=True
m=99, M=33, case=15r+9/unsplit, L=33, runs=[(3, 4), (6, 26), (10, 3)], match=True
m=123, M=41, case=15r+3/split, L=14, runs=[(0, 1), (10, 3), (11, 10)], match=True
m=129, M=43, case=15r+9/unsplit, L=43, runs=[(3, 4), (8, 34), (12, 5)], match=True
m=153, M=51, case=15r+3/unsplit, L=51, runs=[(30, 31), (32, 18), (12, 2)], match=True
m=159, M=53, case=15r+9/split, L=18, runs=[(0, 1), (3, 14), (4, 3)], match=True
m=183, M=61, case=15r+3/unsplit, L=61, runs=[(36, 37), (38, 22), (14, 2)], match=True
m=213, M=71, case=15r+3/split, L=24, runs=[(0, 1), (18, 5), (19, 18)], match=True
m=219, M=73, case=15r+9/unsplit, L=73, runs=[(3, 4), (14, 58), (18, 11)], match=True
m=243, M=81, case=15r+3/unsplit, L=81, runs=[(48, 49), (50, 30), (18, 2)], match=True
m=249, M=83, case=15r+9/split, L=28, runs=[(0, 1), (5, 22), (6, 5)], match=True
m=279, M=93, case=15r+9/unsplit, L=93, runs=[(3, 4), (18, 74), (22, 15)], match=True
m=303, M=101, case=15r+3/split, L=34, runs=[(0, 1), (26, 7), (27, 26)], match=True
m=309, M=103, case=15r+9/unsplit, L=103, runs=[(3, 4), (20, 82), (24, 17)], match=True
m=333, M=111, case=15r+3/unsplit, L=111, runs=[(66, 67), (68, 42), (24, 2)], match=True
m=339, M=113, case=15r+9/split, L=38, runs=[(0, 1), (7, 30), (8, 7)], match=True
m=363, M=121, case=15r+3/unsplit, L=121, runs=[(72, 73), (74, 46), (26, 2)], match=True
m=369, M=123, case=15r+9/unsplit, L=123, runs=[(3, 4), (24, 98), (28, 21)], match=True
m=393, M=131, case=15r+3/split, L=44, runs=[(0, 1), (34, 9), (35, 34)], match=True
